origin,destination,count,cat,year
ar,uy,160,Pos,2018
ar,uy,53,Pos,2017
ar,uy,47,Pos,2019
ar,ve,1800,Pos,2018
ar,ve,1065,Pos,2017
ar,ve,850,Pos,2019
ar,ve,641,Pos,2016
ar,ve,199,Pos,2015
at,ae,39,Neg,2015
at,au,64,Neg,2015
at,au,43,Neg,2018
at,be,48,Neg,2015
at,be,43,Neg,2018
at,be,11,Neg,2016
at,ca,4,Neg,2019
at,ca,2,Neg,2016
at,ch,283,Neg,2015
at,ch,264,Neg,2016
at,ch,246,Neg,2017
at,ch,237,Neg,2018
at,ch,215,Neg,2019
at,de,96,Neg,2016
at,de,95,Neg,2015
at,dk,14,Neg,2018
at,es,12,Neg,2017
at,es,1,Neg,2016
at,gb,34,Neg,2015
at,hk,8,Neg,2017
at,hk,6,Neg,2015
at,ie,57,Neg,2015
at,ie,15,Neg,2017
at,il,19,Neg,2015
at,il,9,Neg,2017
at,il,5,Neg,2018
at,jp,9,Neg,2019
at,lu,33,Neg,2017
at,lu,26,Neg,2018
at,lu,19,Neg,2016
at,lu,13,Neg,2015
at,lu,1,Neg,2019
at,no,24,Neg,2015
at,no,19,Neg,2019
at,no,2,Neg,2017
at,no,1,Neg,2018
at,pt,2,Neg,2016
at,se,47,Neg,2016
at,se,21,Neg,2018
at,se,19,Neg,2019
at,se,8,Neg,2017
at,se,1,Neg,2015
at,sg,3,Neg,2017
at,us,18,Neg,2016
at,za,1,Neg,2015
at,ae,50,Pos,2019
at,ae,27,Pos,2016
at,ae,22,Pos,2017
at,ae,16,Pos,2018
at,ar,32,Pos,2019
at,ar,23,Pos,2018
at,ar,21,Pos,2017
at,ar,19,Pos,2016
at,ar,10,Pos,2015
at,au,80,Pos,2016
at,au,20,Pos,2017
